base_impl,attrCount,revealRatio,desktop_wallet_ms,mobile_wallet_ms,raspberry_pi_wallet_ms,desktop_verifier_ms,mobile_verifier_ms,raspberry_pi_verifier_ms
bbs2023-digitalbazaar,8,0.4,210.78719924000035,999.7386462600017,4779.653663359983,74.62306470000127,347.15697705999946,1716.7796424200199
bbs2023-digitalbazaar,8,0.6,207.60315153999835,986.3456693000044,4722.255759420032,74.58622491999878,345.71853236000055,1715.8095029599779
bbs2023-digitalbazaar,8,0.8,204.94808891999827,962.2037246800121,4609.5270809799895,75.18418587999942,345.4177369000018,1718.7678368999996
bbs2023-digitalbazaar,8,1.0,199.56205465999838,1060.7961476599985,4497.020449999962,74.90673724000168,399.14357387999536,1715.7001344000175
bbs2023-digitalbazaar,9,0.2,230.85153382000107,1165.7174046600076,5228.7676144200195,78.92066725999815,382.23607995999043,1804.8846190400236
bbs2023-digitalbazaar,9,0.4,227.05654581999698,965.7357616200019,5119.797243659943,79.12830333999882,336.9264893199899,1806.3090130200983
bbs2023-digitalbazaar,9,0.6,218.25277011999918,996.5153923800076,5007.564661640041,77.95060983999748,350.6770446600043,1815.0079215200617
bbs2023-digitalbazaar,9,0.8,214.6130521400011,1030.6776061600167,4896.214262219984,78.45700145999609,369.40008932000956,1810.01997940002
bbs2023-digitalbazaar,9,1.0,210.24105206000152,996.5776769800065,4782.947589580044,79.04445114000119,364.74075539999643,1813.472741159983
bbs2023-digitalbazaar,10,0.2,237.91287693999823,1143.053083140012,5509.248838080019,81.1868740800029,384.96527536000127,1916.5415349000134
bbs2023-digitalbazaar,10,0.4,231.74570477999515,1116.644218580015,5398.51211214006,81.03687791999896,382.03322000001094,1916.8627704200521
bbs2023-digitalbazaar,10,0.6,229.11210649999674,1111.5408369199793,5287.36479034001,81.58026762000286,389.5046877200017,1918.4004304599762
bbs2023-digitalbazaar,10,0.8,224.7034960999945,1031.084521680004,5172.780955839958,81.84204217999708,372.9999569399841,1907.854670720063
bbs2023-digitalbazaar,10,1.0,222.62422270000562,1019.7174646400055,5060.581853020005,83.22432821999887,373.7186907400051,1905.8105694000797
bbs2023-digitalbazaar,20,0.5,359.60903636000467,1712.886587800011,,120.38660835999879,567.2361831399799,
bbs2023-digitalbazaar,40,0.5,614.6749507799977,2949.0379633399984,,197.59212655999815,939.5283154200157,
bbs2023-digitalbazaar,60,0.5,891.7757804199948,4246.5978618799945,,281.39485124000464,1342.859192359997,
bbs2023-digitalbazaar,80,0.5,1326.366091600001,5392.218971099993,,411.39477511999314,1662.3775631799922,
bbs2023-digitalbazaar,100,0.5,1746.4645779200107,6462.583289479977,,542.7655490000034,1989.9721940399986,
bbs2023-pairing-crypto,5,0.2,47.414967939999975,166.90203549999995,973.9292209196091,8.944319599999998,29.80934767999999,195.60774827986955
bbs2023-pairing-crypto,5,0.4,44.381283540000005,157.73446923999992,927.7239016993344,8.116652399999966,27.433661520000058,180.3865779605508
bbs2023-pairing-crypto,5,0.6,43.12529974000001,154.3616907199999,903.1546722194553,7.5653627799998135,25.579203100000086,168.07825678005815
bbs2023-pairing-crypto,5,0.8,43.75473430000009,163.9331385000002,878.6362120193243,7.204945679999874,25.555124660000438,154.5204129999876
bbs2023-pairing-crypto,5,1.0,40.04671209999982,167.4389076600004,854.8681785193086,6.18449480000003,22.127569259999873,140.90869564041495
bbs2023-pairing-crypto,6,0.2,45.99362258000005,185.23673535999959,976.7300187598169,9.115609420000146,31.85630307999949,206.67557885989547
bbs2023-pairing-crypto,6,0.4,45.82122710000018,181.41509224000023,957.2191406208277,8.764287719999993,30.09067848000006,194.1804512399435
bbs2023-pairing-crypto,6,0.6,44.824974359999906,178.70020306000077,937.2461873996258,8.14767325999943,27.8186092599995,180.4938643400371
bbs2023-pairing-crypto,6,0.8,43.03357127999996,175.1948908400003,917.6312182794511,7.424240419999842,25.94886006000015,167.86158038035035
bbs2023-pairing-crypto,6,1.0,41.625617779999594,168.2361599599989,877.3100549806654,6.379669779999822,21.97032447999896,140.75443239971995
bbs2023-pairing-crypto,7,0.2,48.160350919999836,192.1172199999998,1023.9318706798554,9.594885479999794,33.60189532000222,218.40753949940205
bbs2023-pairing-crypto,7,0.4,45.81605974000013,186.05913386000145,1005.0736420594155,8.882325579999742,31.757861540000594,206.1928770594299
bbs2023-pairing-crypto,7,0.6,44.841526519999604,180.08944470000105,969.9822873397171,7.959951980000187,27.792617000000902,180.47757979989052
bbs2023-pairing-crypto,7,0.8,43.7717483800005,176.86676152000058,948.8963000796736,7.422010620000801,26.501989220000688,167.94323740005493
bbs2023-pairing-crypto,7,1.0,42.14116649999982,170.0567153599992,909.9561511395872,6.202215999999899,21.9033309,140.70186941966415
bbs2023-pairing-crypto,8,0.2,49.3017787400003,195.38818917999976,1068.6079554601013,10.334474159999226,35.880212340001016,231.93453438043593
bbs2023-pairing-crypto,8,0.4,49.01529350000026,190.01477227999945,1032.7996853597463,9.186948219999758,32.277927680001014,206.26761487960815
bbs2023-pairing-crypto,8,0.6,47.16891798000041,199.11461686000052,1016.6344389997423,8.551043580000114,32.3806507000007,194.31479453995823
bbs2023-pairing-crypto,8,0.8,46.30659386000043,181.93745535999943,978.28269923985,7.5645235399995,25.964112319999842,167.75908829927445
bbs2023-pairing-crypto,8,1.0,42.52612918000028,174.3483400599996,939.4076019601524,6.13800676000028,22.063963060000095,140.5148003001511
bbs2023-pairing-crypto,9,0.2,51.518651040000115,200.63331538000028,1113.5989263394474,10.624043820000079,37.65079686000012,243.9488975006342
bbs2023-pairing-crypto,9,0.4,49.80097322000031,195.1463108399976,1077.9627892802655,9.59411224000025,33.61796298000205,218.42336296021938
bbs2023-pairing-crypto,9,0.6,48.455290899999675,189.7692907200026,1043.2661602005362,8.469611640000075,29.813212300000014,194.38504176035522
bbs2023-pairing-crypto,9,0.8,47.01644741999975,184.45391863999888,1004.9377766588331,7.376869200000219,25.834024559999815,167.58572358101605
bbs2023-pairing-crypto,9,1.0,45.5144031200002,178.23565547999985,968.1105936798454,6.243523239999631,22.0563985399995,140.48589131921528
bbs2023-pairing-crypto,10,0.2,53.120754579999485,206.07838467999827,1144.8918849378824,10.955333280001215,37.47750766000186,243.79873342067003
bbs2023-pairing-crypto,10,0.4,50.69713001999975,198.89939526,1109.9161144003272,9.499154720000224,33.583720040000046,218.03470333874225
bbs2023-pairing-crypto,10,0.6,50.119942760000704,193.56510157999872,1075.1751366996766,8.61114316000021,29.77250604000059,193.8491507190466
bbs2023-pairing-crypto,10,0.8,48.38975288000016,188.6695815399976,1037.030655220747,7.413774580000318,25.8972877399961,168.2145619803667
bbs2023-pairing-crypto,10,1.0,46.216455880001305,181.92985837999615,998.0023685598374,6.241051520000619,21.960204640000594,140.2245158803463
bbs2023-pairing-crypto,20,0.5,67.27096169999946,255.77712773999548,1482.3884014198184,11.819577940000453,41.57698312000372,269.354609939456
bbs2023-pairing-crypto,40,0.5,96.87878197999903,357.66934625999886,2153.761567839682,17.458857459999855,60.615149379997746,394.09265459895136
bbs2023-pairing-crypto,60,0.5,121.84435674000036,444.8524938399985,2710.2337442988155,21.63205833999993,75.57776153999846,490.72131567925214
bbs2023-pairing-crypto,80,0.5,153.44950752000238,541.9178415599931,3364.5597962796687,27.489472539999404,92.73858918000013,604.8943911609053
bbs2023-pairing-crypto,100,0.5,182.1424691799996,640.8562400000019,4016.5883096811176,32.110200999999364,109.99649696000154,719.3287009194494
json-bbs-plus,5,0.2,78.60261571999999,279.30324156,1524.4435882207752,24.171992779999954,79.82984312000006,462.39036582052705
